id,district,plot.number,plot.part,taxpayer.men,taxpayer.women,no.tax.men,no.tax.women,in.russia.men,in.russia.women,total.men,total.women,owner,rent,other,orthodox,other.christian,other.religion,draftee
301,1,54,,0,3,1,1,0,0,1,4,5,0,0,0,0,0,0
302,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
303,1,54,,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0
304,1,54,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
305,1,54,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
306,1,54,,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0
307,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
308,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
309,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
310,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
311,1,54,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
312,1,54,,1,2,1,1,0,0,2,3,3,2,0,0,0,0,0
313,1,54,,1,2,1,3,0,0,2,5,5,2,0,0,0,0,0
314,1,54,,2,3,1,2,0,0,3,5,6,2,0,0,0,0,0
315,1,54,,1,2,0,0,0,0,1,2,1,2,0,0,0,0,0
316,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
317,1,54,,1,2,0,4,0,0,1,6,7,0,0,0,6,0,0
318,1,54,,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
319,1,54,,2,3,2,1,0,0,4,4,7,1,0,0,0,0,0
320,1,54,,2,2,0,0,0,0,2,2,0,4,0,0,0,0,0
321,1,55,,1,1,1,5,0,0,2,6,0,8,0,0,0,0,0
322,1,55,,1,1,1,1,0,0,2,2,0,4,0,0,0,0,0
323,1,55,,1,1,1,0,0,0,2,1,0,3,0,0,0,0,0
324,1,56,,1,1,1,1,0,0,2,2,4,0,0,1,0,0,0
325,1,56,,1,3,3,2,0,0,4,5,7,2,0,0,0,0,0
326,1,56,,1,1,0,2,0,0,1,3,0,4,0,2,0,0,0
327,1,56,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
328,1,56,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
329,1,57,,2,5,1,3,0,0,3,8,7,4,0,0,0,0,0
330,1,57,,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0
331,1,57,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
332,1,57,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
333,1,57,,3,3,1,1,0,0,4,4,7,1,0,0,0,0,0
334,1,57,,1,2,0,1,0,0,1,3,3,1,0,0,0,0,0
335,1,57,,1,2,0,0,0,0,1,2,2,1,0,2,0,0,0
336,1,57,,0,2,0,0,0,0,0,2,0,1,1,0,0,0,0
337,1,57,,1,1,1,4,0,0,2,5,7,0,0,0,0,0,0
338,1,57,,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0
339,1,57,,0,2,0,0,0,0,0,2,1,1,0,0,0,0,0
340,1,57,,1,1,0,0,0,0,1,1,0,2,0,0,0,0,0
341,1,57,,1,1,0,1,0,0,1,2,0,0,3,0,0,0,0
342,1,57,,1,1,0,1,0,0,1,2,0,3,0,0,0,0,0
343,1,57,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
344,1,57,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
345,1,57,,0,4,0,3,0,0,0,7,6,1,0,0,0,0,0
346,1,58,,1,2,0,0,0,0,1,2,2,1,0,0,0,0,0
347,1,58,,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0
348,1,58,,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0
349,1,58,,1,1,0,2,0,0,1,3,0,4,0,0,0,0,0
350,1,58,,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
351,1,58,,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
352,1,59,,1,2,1,1,0,0,2,3,4,1,0,0,0,0,0
353,1,59,,1,1,0,2,0,0,1,3,0,4,0,0,0,0,0
354,1,59,,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
